Title,Subject,Subject Name,Geographic Coverage,Photographer,Year,Caption,longitude,latitude,imageurl
"Deborah Kerr, Henri Jan Van Oosten, Nina Anderton, and pediatric patients, UCLA Medical Center, Los Angeles, 1956",Children $x Hospital care $z California $z Los Angeles,"Kerr, Deborah, $d 1921-2007",Los Angeles (Calif.),,1956,"Text from newspaper caption: Hospital Tour--Actress Deborah Kerr, on left, Thailand Consul Henri Jan Van Oosten and Mrs. Nina Anderton chat with pediatrics ward patients during tour of UCLA Medical Center, beneficiary of proceeds from Miss Kerr's latest movie.  Children from let, are Bradley Atweler, Steve Hill, Howard Asher.",-118.4462736,34.06642791,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/C1429_b275_99317_Kerr_UCLA_6-8-1956.jpg
"Austin Clapp, Olympic medalist, at the Ambassador Hotel Plunge event, Los Angeles, 1928",Swimmers $z California $z Los Angeles,Ambassador Hotel,Los Angeles (Calif.),,1928,"Text from newspaper caption: Honorary Life Membership in Hollywood Athletic Club has been voted Austin Clap, 17, Hollywood youth who was member of Olympic swimming team [Los Angeles Times, 9/14/1928",-118.2971013,34.06032147,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_1661.jpg
"Police Captain W. M. Littell with Stanley Bell and other children from Hollenbeck Heights, Hollenbeck Station, Los Angeles, 1935",Police $z California $z Los Angeles,"Hollenbeck Community Police Station (Los Angeles, Calif.)",Los Angeles (Calif.),,1935,Text from newspaper caption: Hollenbeck Heights police will send 1000 underprivileged children in that area to the California Pacific International Exposition at San Diego Tuesday. The picture shows Capt. W. M. Littell putting a tag on Stanley Bell certifying him as one of the guest.,-118.214798,34.045374,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_10128.jpg
"Top of the inlet-outlet tower at the Bouquet Canyon Reservoir, 1934",Reservoirs $z California $z Bouquet Canyon,,Bouquet Canyon (Calif.),,1934,"Text from newspaper caption: Here's Where Flow Started; View of Control Tower [Los Angeles Times, ""Water in New Reservoir,"" 3/29/1934]",-118.3772564,34.58877472,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_0347.jpg
"Printer R. T. Allen works on a braille copy of ""Mutiny on the Bounty"", Los Angeles, 1936",Blind persons $z California $z Los Angeles,Braille Institute of America,Los Angeles (Calif.),,1936,"Text from newspaper caption: Here R. T. Allen, printer, is removing a sheet of dampened bond paper which has been squeezed between the zinc stereotyped plates. Fingers of the blind will interpret these dents as a page from ""Mutiny on the Bounty.""",-118.292128,34.0846,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_13763.jpg
"Silent film star Juanita Hansen sorts through fan mail at the W.P.A. unit office of 1050 Santee Street, Los Angeles, 1936",Actresses $x American $z California $z Los Angeles,"Hansen, Juanita, $d 1895-1961",Los Angeles (Calif.),,1936,"Text from newspaper caption: Heaps of fan mail streamed to Juanita Hansen, star of the silent films when admirers heard she was employed on a local Federal aid theater project.",-118.256012,34.037869,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_12676.jpg
"Dr. Cory Ledyard inspects Tommy Headland (7 mos.) with mother Margaret Headland at the Mothers' Educational Center, Los Angeles, 1936",Infants $z California $z Los Angeles,Los Angeles Chamber of Commerce,Los Angeles (Calif.),,1936,Text from newspaper caption: Healthy babies make good citizens. So at the Mothers' Educational Center an elaborate child-rearing course starts with a complete physical examination. Here Staff Doctor Cory Ledyard is inspecting 7-months-old Tommy Headland's heart while his mother observes carefully.,-118.260289,34.038156,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_13834.jpg
"Lewis Patrick Phillips, former judge, Downey, 1922",Judges $z California $z Downey,"Phillips, Lewis Patrick, $d 1831-1926",Downey (Calif.),,1922,"Text from newspaper caption: He is Last Son of the Revolution. Judge Lewis Patrick Phillips at His Downey Home, Where, despite his 91 years, he keeps fit by cutting his lawn and tending the garden.",-118.131967,33.943098,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_11274.jpg
"Lewis Patrick Phillips, former judge, interviewed by Burton L. Smith, Downey, 1922",Reporters $x American $z California $z Downey,"Phillips, Lewis Patrick, $d 1831-1926",Downey (Calif.),,1922,"Text from newspaper caption: He is Last Son of the Revolution. Judge Lewis Patrick Phillips at His Downey Home, Where, despite his 91 years, he keeps fit by cutting his lawn and tending the garden.",-118.131967,33.943098,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_11273.jpg
"Distant view of remaining center portion of the St. Francis Dam visible after its disastrous collapse, San Francisquito Canyon (Calif.), 1928","Saint Francis Dam Failure, Calif., 1928",,San Francisquito Canyon (Calif.),,1928,"Text from newspaper caption: Graphic Views of Flood-swept Area Near Castaic After Dam Break: Picture at Right Shows the Dam as it is Today. (Times photo.) [Los Angeles Times, 4 Mar. 1928]",-118.5125,34.546944,http://digital2.library.ucla.edu/dlcontent/latimes/jpegs/uclamss_1429_1892.jpg
